Timestamp,EventType,Message
2026-02-08T15:52:54.7056988+05:30,TOUCHLINE,NIFTY | Price: 22505 | Time: 3:52:54 PM
2026-02-08T15:52:54.7071047+05:30,MARKET_DEPTH,Depth snapshot #1
2026-02-08T15:52:55.7096484+05:30,TOUCHLINE,NIFTY | Price: 22510 | Time: 3:52:55 PM
2026-02-08T15:52:55.7105903+05:30,MARKET_DEPTH,Depth snapshot #2
2026-02-08T15:52:56.7250236+05:30,TOUCHLINE,NIFTY | Price: 22515 | Time: 3:52:56 PM
2026-02-08T15:52:56.7261462+05:30,MARKET_DEPTH,Depth snapshot #3
2026-02-08T15:52:57.7413879+05:30,TOUCHLINE,NIFTY | Price: 22520 | Time: 3:52:57 PM
2026-02-08T15:52:57.7423970+05:30,MARKET_DEPTH,Depth snapshot #4
2026-02-08T15:52:58.7484969+05:30,TOUCHLINE,NIFTY | Price: 22525 | Time: 3:52:58 PM
2026-02-08T15:52:58.7501580+05:30,MARKET_DEPTH,Depth snapshot #5
2026-02-08T15:52:59.7660247+05:30,TOUCHLINE,NIFTY | Price: 22530 | Time: 3:52:59 PM
2026-02-08T15:52:59.7675102+05:30,MARKET_DEPTH,Depth snapshot #6
2026-02-08T15:53:00.7744272+05:30,TOUCHLINE,NIFTY | Price: 22535 | Time: 3:53:00 PM
2026-02-08T15:53:00.7752370+05:30,MARKET_DEPTH,Depth snapshot #7
2026-02-08T15:53:01.7840297+05:30,TOUCHLINE,NIFTY | Price: 22540 | Time: 3:53:01 PM
2026-02-08T15:53:01.7849155+05:30,MARKET_DEPTH,Depth snapshot #8
2026-02-08T15:53:02.7930632+05:30,TOUCHLINE,NIFTY | Price: 22545 | Time: 3:53:02 PM
2026-02-08T15:53:02.7943057+05:30,MARKET_DEPTH,Depth snapshot #9
2026-02-08T15:53:03.8093712+05:30,TOUCHLINE,NIFTY | Price: 22550 | Time: 3:53:03 PM
2026-02-08T15:53:03.8101065+05:30,MARKET_DEPTH,Depth snapshot #10
